name,Battles,Wins,Losses,Win Rate (%)
Kick-Ass,0,0,0,0.0
Kid Colt,0,0,0,0.0
Kid Flash (CW),0,0,0,0.0
Kid Flash II,0,0,0,0.0
Kid Flash,0,0,0,0.0
Kilgrave (MCU),0,0,0,0.0
Killer Bee,0,0,0,0.0
Killer Croc (DCEU),0,0,0,0.0
Killer Croc,0,0,0,0.0
Killer Frost (CW),0,0,0,0.0
Killer Frost,0,0,0,0.0
Killian (MCU),0,0,0,0.0
Killmonger (MCU),0,0,0,0.0
Killow,0,0,0,0.0
Kilowog,0,0,0,0.0
King Shark (CW),0,0,0,0.0
King Shark,0,0,0,0.0
King Thanos,0,0,0,0.0
Kingpin (MCU),0,0,0,0.0
Kisame,0,0,0,0.0
Klaw (MCU),0,0,0,0.0
Klaw,1,1,0,100.0
Knockout,0,0,0,0.0
Koko (The LEGO Ninjago Movie),0,0,0,0.0
Kool-Aid Man,0,0,0,0.0
Korg (MCU),0,0,0,0.0
Kraglin (MCU),0,0,0,0.0
Kratos,0,0,0,0.0
Kraven II,0,0,0,0.0
Kraven the Hunter,0,0,0,0.0
Kronos,0,0,0,0.0
Kruncha,0,0,0,0.0
Krux,0,0,0,0.0
Krypto,0,0,0,0.0
Kurse (MCU),0,0,0,0.0
Kurse,0,0,0,0.0
Kylo Ren,0,0,0,0.0
Lady Blackhawk,0,0,0,0.0
Lady Bullseye,0,0,0,0.0
Lady Deadpool,0,0,0,0.0
Lady Deathstrike,0,0,0,0.0
Lady Shiva,0,0,0,0.0
Lagoon Boy,0,0,0,0.0
Laira,0,0,0,0.0
Lance Hunter (MCU),0,0,0,0.0
Lantern Bleez,0,0,0,0.0
Lar Gand,0,0,0,0.0
Lashina,0,0,0,0.0
Laufey (MCU),0,0,0,0.0
Laufey,0,0,0,0.0
Lauren Strucker (Fox),0,0,0,0.0
Leader,0,0,0,0.0
Leech,0,0,0,0.0
Legion,0,0,0,0.0
Legolas,0,0,0,0.0
Leo Fitz (MCU),0,0,0,0.0
Leo Valdez,0,0,0,0.0
Leonardo (TMNT 2012),0,0,0,0.0
Lex Luthor (DCEU),0,0,0,0.0
Lex Luthor (Injustice),0,0,0,0.0
Lex Luthor,0,0,0,0.0
Light Lass,0,0,0,0.0
Lightning Lad,0,0,0,0.0
Lightning Lord,0,0,0,0.0
Lightray,0,0,0,0.0
Lightspeed,0,0,0,0.0
Link,0,0,0,0.0
Littlefinger,0,0,0,0.0
Livewire (CW),0,0,0,0.0
Livewire,0,0,0,0.0
Living Brain,0,0,0,0.0
Living Totem,0,0,0,0.0
Liz Sherman,0,0,0,0.0
Lizard,0,0,0,0.0
Lloyd (The LEGO Ninjago Movie),0,0,0,0.0
Lloyd,0,0,0,0.0
Lobo,0,0,0,0.0
Lockjaw,0,0,0,0.0
Longshot,0,0,0,0.0
Lord Garmadon,0,0,0,0.0
Lord Of Cinder,0,0,0,0.0
Lord Voldemort,0,0,0,0.0
Lorelei,0,0,0,0.0
Lucifer (FOX),0,0,0,0.0
Lucius Malfoy,0,0,0,0.0
Luke Cage,0,0,0,0.0
Luke Skywalker,0,0,0,0.0
Luna,0,0,0,0.0
Mach-IV,0,0,0,0.0
Machine Man,0,0,0,0.0
Mad Harriet,0,0,0,0.0
Madame Xanadu,5,4,1,80.0
Madara Uchiha,0,0,0,0.0
Maestro Hulk,0,0,0,0.0
Magneto (FOX),0,0,0,0.0
Magneto,0,0,0,0.0
Magog,1,0,1,0.0
Magus,0,0,0,0.0
Makkari,0,0,0,0.0
